goods_id,category_id,shop_id,goods_name,goods_describe,sales,discount_deadline,discount_rate,is_valid
1,1,1,HUWEI Matebook E i5,华为笔记本电脑HUAWEI MateBook E 游戏本2022新款华为官方旗舰店二合一学生本触摸屏轻薄正品商务游戏办公,0,2100/1/1,1,1
2,1,1,HUAWEI P50 Pro 4G,华为P50 Pro 4G全网通搭载HarmonyOS 2麒麟9000华为手机华为官方旗舰店正品p50pro,0,2100/1/1,1,1
3,1,1,HUAWEI Matebook E i7,华为官方旗舰店官方正品HUAWEI MateBook E 2022新款i7华为二合一笔记本电脑学生本触摸屏游戏商务办公本,0,2100/1/1,1,1
4,1,1,HUAWEI Mate40 Pro 4G,华为Mate 40 Pro 4G麒麟曲面华为手机4g手机智能手机华为官方旗舰店mate40proP50p50,0,2100/1/1,1,1
5,1,1,HUAWEI Mate40 RS,HUAWEI/华为Mate 40 RS保时捷设计徕卡智能手机华为手机华为官方旗舰店mate40rs,0,2100/1/1,1,1
6,1,1,HUAWEI nova 9 Pro 4G,HUAWEI nova 9 Pro 4G全网通双3200万前置Vlog镜头100W超级快充华为手机华为官方旗舰店,0,2100/1/1,1,1
7,1,1,HUAWEI nova 8 Pro 5G,HUAWEI/华为nova 8 Pro麒麟曲面屏华为手机5g手机智能手机华为官方旗舰店nova8pro,0,2100/1/1,1,1
8,1,1,HUAWEI MatePad 11,华为/HUAWEI MatePad11新款120Hz高刷全面屏鸿蒙HarmonyOS影音娱乐学习办公平板电脑内存,0,2100/1/1,1,1
9,1,1,HUAWEI MatePad Pro 10.8 英寸,华为平板HUAWEI MatePad Pro 10.8英寸2021款鸿蒙HarmonyOS教育数码学生电脑8GB内存,0,2100/1/1,1,1
10,1,1,HUAWEI 数据线,HUAWEI 数据线,0,2100/1/1,1,1
11,1,1,HUAWEI WATCH GT 3 46mm,HUAWEI WATCH GT3 46mm华为手表gt3华为gt3蓝牙通话精准定位强劲续航无线充电华为智能手表运动手表血氧监测,0,2100/1/1,1,1
12,1,2,Redmi Note 11 5G,【购机赠99元好礼】Redmi Note 11 5G 大电量智能红米手机 小米官方旗舰店 官网正品 xiaomi,0,2100/1/1,1,1
13,1,2,Redmi Note 11 Pro 5G,【限时特惠130元】小米/Redmi Note 11 Pro 5G红米手机一亿像素拍照智能全面屏游戏办公家用机小米官方5g,0,2100/1/1,1,1
14,1,2,Redmi K40 5g,【指定整点抢5折】Redmi K40骁龙870 120Hz屏幕智能游戏拍照5g手机小米官方旗舰店官网红米k40,0,2100/1/1,1,1
15,1,2,Redmi K40 Pro 5G,【指定整点抢5折】 Redmi K40 Pro 骁龙888屏智能游戏拍照学生5g手机小米官方旗舰店红米k40pro,0,2100/1/1,1,1
16,1,2,Xiaomi 11 5G,【限时特惠 购机享24期免息】小米11 5g手机骁龙888旗舰2K屏幕智能全面屏小米官方旗舰店小米新品,0,2100/1/1,1,1
17,1,2,Xiaomi 11 Pro 5G,【享24期免息】小米11 Pro5g小米手机骁龙8882K屏幕新品发布智能k40游戏拍照小米官方旗舰店安卓小米11pro,0,2100/1/1,1,1
18,1,2,Xiaomi MIX 4 5G,【限时优惠530元  24期免息】小米MIX 4 CUP全面屏骁龙888Plus智能拍照电竞游戏小米官方旗舰店5g新款,0,2100/1/1,1,1
